PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,SIZE_CATEGORY,DISTANCE_TO_RED_LINE,TRANSIT_ACCESSIBILITY,GENERAL_USE_CATEGORY,NEIGHBORHOOD_DENSITY
107-8,711 Massachusetts Ave,HOTEL,10570.0,42.36629824494118,-71.10459126054883,,,,,,,6.0,300,,False,Medium,235.2045947078765,0.7662464810611903,Other,34
181-88,2067 Massachusetts Ave,RETAIL-OFFIC,78646.0,42.39194509549098,-71.12252077600638,,,,,,,11.0,345,,False,Large,554.5954321181513,0.4488260996515886,Commercial,28
119-82,888 Massachusetts Ave,>8-UNIT-APT,11239.0,42.36772845204892,-71.10814950028752,,,,,,,7.0,112,,False,Medium,644.0781567104834,0.3598954315085247,Multi-Family,51
117-24,897 Massachusetts Ave,MXD SNGL-FAM-RES,3194.0,42.36830280770828,-71.10810706432184,,,,,,,6.0,101,,False,Small,675.7293425385546,0.32843951511757646,Residential,34
116-99,931 Massachusetts Ave,>8-UNIT-APT,19078.0,42.36887825110227,-71.10922253613779,,,,,,,6.0,112,,True,Large,813.6286659137259,0.19139095049126792,Multi-Family,34
90-161,647-655 Massachusetts Ave,RETAIL-OFFIC,8628.0,42.365694476765505,-71.10351849189975,,,,,,,4.0,345,,False,Medium,115.90978694614502,0.8848053091319913,Commercial,23
181-37,2101 Massachusetts Ave,>8-UNIT-APT,6316.0,42.391838798237266,-71.12338973080789,,,,,,,11.0,112,,True,Medium,618.9687843668038,0.3848498936055332,Multi-Family,28
155-33,1705 Massachusetts Ave,Private College,21528.0,42.38326941123392,-71.11886763612533,,,,,,,8.0,942,Educ NonTax,False,Large,569.6848457302391,0.4338297789592591,Educational,24
200-47,2024 Massachusetts Ave,MXD 4-8-UNIT-APT,5000.0,42.39048501529348,-71.12198381288937,,,,,,,11.0,111,,False,Small,404.05262655301857,0.5984401435246539,Multi-Family,28
174-25,1696 Massachusetts Ave,MEDICAL-OFFC,8300.0,42.38303208656792,-71.12009095532495,,,,,,,9.0,342,,False,Medium,608.0194399071054,0.39573168696805866,Other,42
173-75,1640 Massachusetts Ave,MULTIUSE-COM,6538.0,42.38115722319052,-71.12025271695245,,,,,,,9.0,31,,False,Medium,815.8848523105868,0.18914868345433722,Other,42
174-66,1684 Massachusetts Ave,MULTIUSE-COM,2362.0,42.38259036418824,-71.12002049984332,,,,,,,9.0,31,,False,Small,654.7427768647096,0.34929660586784245,Other,42
106-105,632 Massachusetts Ave,MXD >8-UNIT-APT,33254.0,42.36497147730273,-71.10402694186408,,,,,,,5.0,112,,False,Large,96.61035808593424,0.9039856717230645,Multi-Family,25
152-51,1815 Massachusetts Ave,Higher Ed and Comm Mixed,108636.0,42.387323494296375,-71.1186400368896,,,,,,,8.0,942,Educ NonTax,False,Large,125.99541355925673,0.874781904978489,Other,24
177-71,1826 Massachusetts Ave,PARKING-LOT,12007.0,42.3871654670845,-71.11943115958823,,,,,,,9.0,337,,False,Medium,145.1500662243268,0.8557454253975021,Other,42
157-69,1525 Massachusetts Ave,Private College,1210316.0,42.37730167455329,-71.11841328072352,,,,,,,8.0,942,Educ NonTax,False,Large,416.0151170455665,0.5865514546519808,Educational,24
133-28,1130 Massachusetts Ave,GEN-OFFICE,1646.0,42.37075254087723,-71.11411636722863,,,,,,,7.0,340,,False,Small,627.497564545408,0.37637373104807814,Commercial,51
